keywords
"['rent', 'howard', 'eagerness', 'wheelchair', 'rectangle']"
"['feminists', 'contamination', 'pedro', 'know', 'displayed']"
"['funeral', 'willis', 'sit', 'people', 'song']"
"['children', 'cutting', 'property', 'living', 'way']"
"['sit', 'concert', 'waves', 'intoxicates', 'pleasurable']"
"['japan', 'meet', 'father', 'plane', 'better']"
"['rooms', 'decorations', 'wealthy', 'maybe', 'beautiful']"
"['joe', 'sizemore', 'football', 'flattered', 'knew']"
"['sign', 'peace', 'european', 'words', 'man']"
"['bus', 'ramp', 'skip', 'thinks', 'women']"
"['breath', 'pills', 'couch', 'ones', 'try']"
"['eyes', 'movie', 'position', 'article', 'unstuck']"
"['valerie', 'metaphor', 'sitting', 'pupils', 'sigh']"
"['synthesizer', 'dreamt', 'lecture', 'cleaning', 'views']"
"['screamed', 'butterflies', 'trip', 'disappeared', 'san']"
